studentId,title,firstName,lastName,birthDate,currentSchool,email
69240001,Mr.,John,Smith,2007-03-15,Bangkok International School,john.smith@email.com
69240002,Ms.,Sarah,Johnson,2007-07-22,Chulalongkorn University Demonstration School,sarah.johnson@email.com
69240003,Mr.,Michael,Wilson,2007-01-10,Triam Udom Suksa School,michael.wilson@email.com
69240004,Ms.,Emily,Brown,2007-11-05,Suankularb Wittayalai School,emily.brown@email.com
69240005,Mr.,David,Taylor,2007-09-18,Rajavinit Mathayom School,david.taylor@email.com
69240006,Ms.,Lisa,Anderson,2007-04-12,Satriwitthaya School,lisa.anderson@email.com
69240007,Mr.,James,Thomas,2007-06-30,Phraram 4 School,james.thomas@email.com
69240008,Ms.,Amanda,White,2007-02-25,Thidashiri School,amanda.white@email.com
69240009,Mr.,Robert,Harris,2007-08-14,Wat Khien School,robert.harris@email.com
69240010,Ms.,Jessica,Martin,2007-05-03,Mahidol Wittayanusorn School,jessica.martin@email.com
69240011,Mr.,Christopher,Thompson,2007-12-01,Sri Ayudhya School,christopher.thompson@email.com
69240012,Ms.,Ashley,Garcia,2007-10-20,Nawaminthrachinuthit School,ashley.garcia@email.com
